epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2053.52,4.12231,3.24862,2.31783,0.19437,0.07628,0.07149,0.02902,2.77053,2.15747,1.56317,0.0700186,0.00333126,0.00333126
2,3142.6,2.63221,1.86968,1.41766,0.44782,0.17405,0.19556,0.08497,2.29136,1.54542,1.28788,0.0399527,0.00659862,0.00659862
3,3996.91,2.30735,1.54897,1.26966,0.50725,0.20697,0.24049,0.11247,2.04463,1.47999,1.17792,0.00982067,0.00979997,0.00979997
4,4831.15,2.11839,1.37323,1.19999,0.59853,0.23584,0.27811,0.13261,1.91988,1.15745,1.13148,0.009703,0.009703,0.009703
5,5593.43,2.00373,1.25212,1.15895,0.62702,0.2471,0.29234,0.1449,1.82813,1.0948,1.10671,0.009604,0.009604,0.009604
6,6400.8,1.93174,1.18083,1.13144,0.68031,0.25083,0.30614,0.1541,1.78275,1.04511,1.09156,0.009505,0.009505,0.009505
7,7106.14,1.87131,1.12459,1.11433,0.66503,0.26413,0.31864,0.15824,1.74916,0.97443,1.07617,0.009406,0.009406,0.009406
8,7818.41,1.83415,1.09374,1.1062,0.68218,0.27373,0.33165,0.16589,1.71949,0.96145,1.0607,0.009307,0.009307,0.009307
9,8536.48,1.80173,1.05845,1.0996,0.70293,0.27265,0.33149,0.17335,1.67341,0.9224,1.05603,0.009208,0.009208,0.009208
10,9224.77,1.77118,1.0301,1.08669,0.7054,0.28163,0.34697,0.18314,1.6449,0.89677,1.0463,0.009109,0.009109,0.009109
11,9868.53,1.76239,1.02285,1.08487,0.71704,0.28184,0.34814,0.18388,1.63943,0.88626,1.04312,0.00901,0.00901,0.00901
12,10476.9,1.7361,0.99636,1.08053,0.71498,0.28678,0.3492,0.18474,1.62938,0.87153,1.039,0.008911,0.008911,0.008911
13,11578.2,1.71831,0.98339,1.07057,0.72296,0.28648,0.35156,0.18649,1.61988,0.86715,1.03599,0.008812,0.008812,0.008812
14,12451.6,1.71991,0.9744,1.06744,0.71493,0.29237,0.35597,0.19101,1.59099,0.85144,1.0291,0.008713,0.008713,0.008713
15,13022.5,1.69994,0.96489,1.06688,0.7231,0.29406,0.35775,0.18994,1.5874,0.84477,1.0285,0.008614,0.008614,0.008614
16,13656,1.69232,0.95381,1.06306,0.74136,0.29403,0.36333,0.19596,1.5723,0.82511,1.02551,0.008515,0.008515,0.008515
17,14285.8,1.67624,0.93839,1.05837,0.73417,0.29625,0.36556,0.19839,1.55992,0.8164,1.02291,0.008416,0.008416,0.008416
18,14905.9,1.65897,0.92629,1.05425,0.73482,0.30011,0.36908,0.2,1.5473,0.80361,1.0177,0.008317,0.008317,0.008317
19,17714.7,1.65983,0.92393,1.05377,0.74455,0.29895,0.37048,0.19985,1.5571,0.80187,1.01879,0.008218,0.008218,0.008218
