epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.752,3.78631,3.3084,2.58839,0.30637,0.14845,0.12082,0.04424,2.79045,2.28185,1.84976,0.0700373,0.00332919,0.00332919
2,247.776,2.42019,1.82209,1.54912,0.5803,0.27615,0.29914,0.13002,2.124,1.46907,1.46693,0.0399713,0.00659657,0.00659657
3,344.271,2.09498,1.45757,1.3653,0.6343,0.33225,0.3693,0.17222,1.87525,1.23115,1.31452,0.00983935,0.00979794,0.00979794
4,440.189,1.91882,1.26214,1.27292,0.69005,0.38394,0.43355,0.21478,1.73112,1.08398,1.23644,0.009703,0.009703,0.009703
5,535.67,1.81908,1.15478,1.23061,0.72568,0.41257,0.46836,0.23526,1.66837,0.9946,1.21421,0.009604,0.009604,0.009604
6,631.258,1.76094,1.07548,1.19668,0.74278,0.42782,0.49145,0.25076,1.62533,0.93091,1.1941,0.009505,0.009505,0.009505
7,726.939,1.70437,1.02486,1.18483,0.73957,0.44921,0.50593,0.2565,1.5884,0.89893,1.17639,0.009406,0.009406,0.009406
8,822.989,1.67974,0.98667,1.16624,0.7504,0.45224,0.51553,0.25951,1.57124,0.86308,1.16475,0.009307,0.009307,0.009307
9,918.131,1.65253,0.96365,1.16089,0.77164,0.46613,0.53204,0.27593,1.54024,0.84506,1.15709,0.009208,0.009208,0.009208
10,1014.16,1.62725,0.93775,1.14918,0.76717,0.47839,0.53975,0.27745,1.52891,0.84195,1.14856,0.009109,0.009109,0.009109
11,1109.64,1.61055,0.92094,1.14367,0.78269,0.48045,0.55047,0.28454,1.51673,0.8059,1.14335,0.00901,0.00901,0.00901
12,1205.33,1.59781,0.90636,1.13469,0.77903,0.48879,0.55824,0.28963,1.49823,0.79675,1.13652,0.008911,0.008911,0.008911
13,1301.19,1.5917,0.89816,1.13396,0.78021,0.49811,0.5635,0.2929,1.4843,0.78163,1.12903,0.008812,0.008812,0.008812
14,1396.63,1.56969,0.878,1.1266,0.8009,0.49388,0.56822,0.29997,1.4722,0.76601,1.12497,0.008713,0.008713,0.008713
15,1492.01,1.57164,0.87513,1.12501,0.80076,0.50426,0.577,0.302,1.46618,0.75978,1.11972,0.008614,0.008614,0.008614
16,1587.05,1.56329,0.86174,1.11805,0.80145,0.50874,0.58012,0.30567,1.46259,0.74452,1.12183,0.008515,0.008515,0.008515
17,1681.97,1.54864,0.85044,1.11687,0.80691,0.50993,0.58051,0.30558,1.45292,0.74481,1.11535,0.008416,0.008416,0.008416
18,1777.09,1.54105,0.84625,1.11572,0.81103,0.51096,0.5834,0.30849,1.44687,0.73801,1.11284,0.008317,0.008317,0.008317
19,1872.45,1.53544,0.8358,1.11167,0.80952,0.51539,0.58996,0.31277,1.44192,0.73022,1.11156,0.008218,0.008218,0.008218
20,1967.53,1.52482,0.83214,1.10706,0.80969,0.52272,0.59416,0.31491,1.4348,0.72327,1.11137,0.008119,0.008119,0.008119
21,2062.27,1.52206,0.82686,1.10891,0.80823,0.5225,0.59368,0.31454,1.43731,0.71604,1.11059,0.00802,0.00802,0.00802
22,2156.83,1.51641,0.81807,1.10484,0.8125,0.52627,0.60017,0.32003,1.42548,0.70908,1.1075,0.007921,0.007921,0.007921
23,2252.03,1.50967,0.81364,1.09781,0.81167,0.52436,0.59902,0.31835,1.42322,0.70815,1.10421,0.007822,0.007822,0.007822
24,2347.18,1.51087,0.8105,1.10116,0.81246,0.52896,0.60115,0.31973,1.4193,0.69888,1.09752,0.007723,0.007723,0.007723
25,2442.55,1.49968,0.8017,1.09667,0.81571,0.53023,0.60678,0.32441,1.41772,0.69803,1.10232,0.007624,0.007624,0.007624
26,2538.29,1.50264,0.80537,1.10208,0.81476,0.52894,0.60564,0.32368,1.414,0.69635,1.0981,0.007525,0.007525,0.007525
27,2633.41,1.50217,0.80369,1.09714,0.80916,0.53727,0.61117,0.32692,1.4031,0.68827,1.09588,0.007426,0.007426,0.007426
28,2728.88,1.48876,0.79245,1.09208,0.8098,0.5357,0.61062,0.32746,1.40236,0.68654,1.09237,0.007327,0.007327,0.007327
29,2823.66,1.48796,0.78824,1.09107,0.81071,0.54204,0.61417,0.3285,1.39729,0.68115,1.09443,0.007228,0.007228,0.007228
30,2918.65,1.48101,0.78526,1.0919,0.81709,0.5391,0.61293,0.32884,1.39958,0.67844,1.09414,0.007129,0.007129,0.007129
31,3014.13,1.48274,0.78264,1.09168,0.82185,0.53935,0.61764,0.33136,1.39698,0.67468,1.0916,0.00703,0.00703,0.00703
32,3109.14,1.4848,0.78001,1.0887,0.82268,0.54043,0.61511,0.33025,1.39568,0.67422,1.09091,0.006931,0.006931,0.006931
33,3203.51,1.47301,0.77505,1.08966,0.81965,0.54283,0.61701,0.33224,1.3939,0.6709,1.09041,0.006832,0.006832,0.006832
34,3298.39,1.4668,0.7742,1.08834,0.82662,0.5455,0.62029,0.33406,1.38933,0.66605,1.08963,0.006733,0.006733,0.006733
35,3393.34,1.47238,0.77262,1.08862,0.82259,0.54701,0.62163,0.33524,1.38426,0.66451,1.08748,0.006634,0.006634,0.006634
36,3488.78,1.46558,0.76463,1.0848,0.82314,0.54786,0.6228,0.33551,1.38757,0.66163,1.08856,0.006535,0.006535,0.006535
37,3583.79,1.46633,0.76631,1.08097,0.82249,0.54921,0.62421,0.33692,1.38146,0.65749,1.08329,0.006436,0.006436,0.006436
38,3678.81,1.46062,0.76384,1.08244,0.82365,0.54817,0.62361,0.33607,1.38177,0.66086,1.08212,0.006337,0.006337,0.006337
39,3774.14,1.46175,0.76302,1.08173,0.82134,0.54985,0.62517,0.33903,1.3789,0.65777,1.08378,0.006238,0.006238,0.006238
40,3869.71,1.46413,0.76602,1.07785,0.82568,0.55051,0.62691,0.33999,1.38817,0.66387,1.08307,0.006139,0.006139,0.006139
41,3964.97,1.47387,0.77711,1.07653,0.82493,0.55036,0.62572,0.33906,1.39615,0.67205,1.07883,0.00604,0.00604,0.00604
